t,f,v1,v2,v3,v4,v5
350,4.01E-07,1.338796288,1.276104028,0.062340424,0.000349802,2.03E-06
355,1.62E-06,1.337807538,1.274314557,0.063142272,0.000349547,1.16E-06
360,6.69E-07,1.338417625,1.275421546,0.062644719,0.000349704,1.66E-06
365,4.17E-07,1.339066936,1.276590305,0.062124754,0.000349873,2.00E-06
370,1.15E-06,1.338518848,1.275605077,0.062562705,0.00034973,1.34E-06
375,1.17E-06,1.338554329,1.275669169,0.062534096,0.000349739,1.32E-06
380,1.05E-06,1.338756328,1.276033267,0.062371887,0.000349792,1.38E-06
385,8.39E-07,1.33907072,1.276597967,0.062121363,0.000349874,1.52E-06
390,1.47E-06,1.338869493,1.27623719,0.062281271,0.000349822,1.21E-06
395,4.87E-07,1.339653864,1.277639122,0.061662826,0.000350029,1.89E-06
400,9.54E-07,1.339517352,1.277396729,0.06176919,0.000349992,1.44E-06
405,1.28E-06,1.339405677,1.277197754,0.061856678,0.000349963,1.28E-06
410,4.25E-07,1.340211776,1.278628454,0.061231148,0.000350178,2.00E-06
415,7.73E-07,1.340165878,1.278548061,0.06126608,0.000350166,1.57E-06
420,5.22E-07,1.340573997,1.279267463,0.060954418,0.000350276,1.84E-06
425,1.38E-06,1.339992735,1.278242117,0.061399252,0.000350119,1.25E-06
430,1.27E-06,1.3401134,1.278455733,0.061306229,0.000350152,1.29E-06
435,1.34E-06,1.340227599,1.278657716,0.061218441,0.000350182,1.26E-06
440,7.45E-07,1.34072584,1.279534792,0.060839134,0.000350317,1.60E-06
445,8.67E-07,1.340857006,1.279765108,0.060740042,0.000350353,1.50E-06
450,9.20E-07,1.340955504,1.279937755,0.060665901,0.00035038,1.47E-06
455,1.14E-06,1.340941055,1.279912663,0.060676669,0.000350376,1.35E-06
460,4.31E-07,1.34168417,1.281207149,0.060124446,0.000350581,1.99E-06
465,3.64E-07,1.342239075,1.282166809,0.059719393,0.000350736,2.14E-06
470,1.61E-06,1.341220306,1.28040121,0.060467468,0.000350453,1.18E-06
475,4.92E-07,1.341967864,1.281698873,0.059916439,0.00035066,1.89E-06
480,1.26E-06,1.34163053,1.281115228,0.060163438,0.000350566,1.30E-06
485,5.57E-07,1.342229857,1.282151492,0.059725829,0.000350734,1.80E-06
490,1.02E-06,1.342072312,1.281880246,0.05983996,0.00035069,1.42E-06
495,1.27E-06,1.342015721,1.281782659,0.059881093,0.000350674,1.30E-06
500,1.48E-06,1.342049225,1.281840702,0.059856623,0.000350683,1.22E-06
505,1.38E-06,1.342218726,1.282133245,0.059733498,0.000350731,1.25E-06
510,3.40E-07,1.343140415,1.28371247,0.059074751,0.000350992,2.20E-06
515,3.97E-07,1.343600478,1.284495432,0.058751848,0.000351125,2.07E-06
520,6.04E-07,1.343514613,1.284350204,0.058811557,0.0003511,1.75E-06
525,1.58E-06,1.342777281,1.283093412,0.059331792,0.000350889,1.19E-06
530,1.61E-06,1.342848907,1.283216082,0.059280736,0.000350909,1.18E-06
535,1.01E-06,1.34322872,1.283864355,0.05901192,0.000351018,1.43E-06
540,4.36E-07,1.343931672,1.285056485,0.058521969,0.000351221,2.00E-06
545,1.07E-06,1.343606421,1.284506665,0.058747234,0.000351127,1.40E-06
550,9.78E-07,1.343726203,1.284709678,0.058663918,0.000351161,1.45E-06
555,1.55E-06,1.34358327,1.284467709,0.05876324,0.00035112,1.20E-06
560,4.18E-07,1.344407777,1.28585907,0.058195311,0.00035136,2.04E-06
565,1.07E-06,1.344145868,1.285419138,0.058374049,0.000351284,1.40E-06
570,1.01E-06,1.344254207,1.285601664,0.058299798,0.000351316,1.43E-06
575,1.60E-06,1.344117905,1.285372331,0.058393111,0.000351276,1.19E-06
580,7.65E-07,1.344629266,1.286231733,0.058044508,0.000351426,1.60E-06
585,1.30E-06,1.344517986,1.286045497,0.058119802,0.000351393,1.29E-06
590,9.03E-07,1.344836491,1.286579044,0.057904462,0.000351487,1.50E-06
595,1.44E-06,1.344727276,1.286396614,0.057977963,0.000351455,1.24E-06
600,1.52E-06,1.344814965,1.286543492,0.057918775,0.000351481,1.22E-06
605,1.07E-06,1.345124571,1.287060468,0.057711132,0.000351573,1.40E-06
610,1.27E-06,1.345191387,1.287172018,0.057666467,0.000351593,1.31E-06
615,1.07E-06,1.345415224,1.287544459,0.057517701,0.000351661,1.40E-06
620,4.83E-07,1.346044163,1.288585639,0.057104743,0.000351851,1.93E-06
625,1.11E-06,1.345751192,1.288102029,0.057296019,0.000351762,1.38E-06
630,3.96E-07,1.346452053,1.289257389,0.056840596,0.000351976,2.09E-06
635,1.53E-06,1.345818101,1.288213091,0.05725201,0.000351782,1.22E-06
640,8.49E-07,1.346208726,1.28885776,0.056997523,0.000351901,1.54E-06
645,1.03E-06,1.346274495,1.288966316,0.056954832,0.000351921,1.42E-06
650,1.11E-06,1.346352934,1.289095522,0.056904082,0.000351945,1.38E-06
655,6.03E-07,1.346846156,1.289904428,0.056587859,0.000352097,1.77E-06
660,1.30E-06,1.346562579,1.289440276,0.056768991,0.00035201,1.30E-06
665,1.43E-06,1.346598096,1.289498666,0.056746158,0.000352021,1.25E-06
670,9.85E-07,1.346917468,1.290021639,0.056542254,0.000352119,1.46E-06
675,1.52E-06,1.346842442,1.289899242,0.056589878,0.000352096,1.23E-06
